order_id,socket.io,websocket,delta
1195813103,1565158681,1565158681,0.001332045
1195813104,1565158681,1565158681,0.001332045
1195813105,1565158681,1565158681,0.001332045
1195813106,1565158681,1565158681,0.001332045
1195813107,1565158681,1565158681,0.001332045
1195813108,1565158681,1565158681,-0.000961065
1195813109,1565158682,1565158682,-0.005244017
1195813110,1565158682,1565158682,-0.010699034
1195813111,1565158682,1565158682,-0.010699034
1195813112,1565158682,1565158682,-0.009282827
1195813113,1565158682,1565158682,-0.009282827
1195813114,1565158682,1565158682,-0.009282827
1195813115,1565158682,1565158682,-0.009282827
1195813116,1565158682,1565158682,-0.009282827
1195813117,1565158682,1565158682,-0.009282827
1195813118,1565158682,1565158682,-0.009282827
1195813119,1565158682,1565158682,-0.009282827
1195813120,1565158682,1565158682,-0.009282827
1195813121,1565158682,1565158682,-0.009282827
1195813122,1565158682,1565158682,-0.008342981
1195813123,1565158682,1565158682,-0.010120153
1195813124,1565158683,1565158683,-0.012497902
1195813125,1565158683,1565158683,-0.012497902
1195813126,1565158683,1565158683,-0.012497902
1195813127,1565158683,1565158683,-0.012497902
1195813128,1565158683,1565158683,-0.012497902
1195813129,1565158684,1565158684,-0.017172098
1195813130,1565158684,1565158684,-0.017172098
1195813131,1565158684,1565158684,-0.017172098
1195813132,1565158684,1565158684,-0.017172098
1195813133,1565158684,1565158684,-0.017172098
1195813134,1565158684,1565158684,-0.017172098
1195813135,1565158684,1565158684,-0.017172098
1195813136,1565158684,1565158684,-0.017172098
1195813137,1565158684,1565158684,-0.017172098
1195813138,1565158684,1565158684,-0.017172098
1195813139,1565158684,1565158684,-0.017172098
1195813140,1565158684,1565158684,-0.017172098
1195813141,1565158684,1565158684,-0.017172098
1195813142,1565158684,1565158684,-0.017172098
1195813143,1565158684,1565158684,-0.017172098
1195813144,1565158684,1565158684,-0.017172098
1195813145,1565158684,1565158684,-0.017172098
1195813146,1565158684,1565158684,-0.017172098
1195813147,1565158684,1565158684,-0.017172098
1195813148,1565158684,1565158684,-0.017172098
1195813149,1565158684,1565158684,-0.017172098
1195813150,1565158684,1565158684,-0.017172098
1195813151,1565158684,1565158684,-0.017172098
1195813152,1565158684,1565158684,-0.017172098
1195813153,1565158684,1565158684,-0.03557086
1195813154,1565158684,1565158684,-0.03557086
1195813155,1565158684,1565158684,-0.03557086
1195813156,1565158684,1565158684,-0.03557086
1195813157,1565158684,1565158684,-0.03557086
1195813158,1565158684,1565158684,-0.03557086
1195813159,1565158684,1565158684,-0.03557086
1195813160,1565158684,1565158684,-0.03557086
1195813161,1565158684,1565158684,-0.03557086
1195813162,1565158684,1565158684,-0.03557086
1195813163,1565158684,1565158684,-0.03557086
1195813164,1565158684,1565158684,-0.03557086
1195813165,1565158684,1565158684,-0.03557086
1195813166,1565158684,1565158684,-0.03557086
1195813167,1565158684,1565158684,-0.03557086
1195813168,1565158684,1565158684,-0.03557086
1195813169,1565158684,1565158684,-0.03557086
1195813170,1565158684,1565158684,-0.03557086
1195813171,1565158684,1565158684,-0.03557086
1195813172,1565158684,1565158684,-0.03557086
1195813173,1565158684,1565158684,-0.03557086
1195813174,1565158684,1565158684,-0.03557086
1195813175,1565158684,1565158684,-0.03557086
1195813176,1565158684,1565158684,-0.03557086
1195813177,1565158684,1565158684,-0.036329985
1195813178,1565158684,1565158684,-0.036329985
1195813179,1565158684,1565158684,-0.036329985
1195813180,1565158684,1565158684,-0.036329985
1195813181,1565158684,1565158684,-0.036329985
1195813182,1565158684,1565158684,-0.036329985
1195813183,1565158684,1565158684,-0.036329985
1195813184,1565158684,1565158684,-0.036329985
1195813185,1565158684,1565158684,-0.036329985
1195813186,1565158684,1565158684,-0.036329985
1195813187,1565158684,1565158684,-0.036329985
1195813188,1565158684,1565158684,-0.036329985
1195813189,1565158684,1565158684,-0.036329985
1195813190,1565158684,1565158684,-0.034132004
1195813191,1565158684,1565158684,-0.034132004
1195813192,1565158684,1565158684,-0.034132004
1195813193,1565158684,1565158684,-0.034132004
1195813194,1565158684,1565158684,-0.034132004
1195813195,1565158684,1565158684,-0.034132004
1195813196,1565158684,1565158684,-0.021400928
1195813197,1565158684,1565158684,-0.009984016
1195813198,1565158684,1565158684,-0.001389027
1195813199,1565158684,1565158684,-0.006174088
1195813200,1565158684,1565158684,-0.006174088
1195813201,1565158685,1565158685,-0.00156188
1195813202,1565158685,1565158685,-0.00156188
1195813203,1565158685,1565158685,-0.00156188
1195813204,1565158685,1565158685,-0.00156188
1195813205,1565158685,1565158685,-0.00156188
1195813206,1565158685,1565158685,-0.00156188
1195813207,1565158685,1565158685,-0.00156188
1195813208,1565158685,1565158685,0.033802032
1195813209,1565158685,1565158685,0.009307861
1195813210,1565158685,1565158685,0.009307861
1195813211,1565158685,1565158685,0.009307861
1195813212,1565158685,1565158685,0.009307861
1195813213,1565158685,1565158685,-0.004464149
1195813214,1565158685,1565158685,-0.004464149
1195813215,1565158685,1565158685,0.000149012
1195813216,1565158685,1565158685,-0.001019955
1195813217,1565158685,1565158685,-0.001019955
1195813218,1565158685,1565158685,-0.001019955
1195813219,1565158686,1565158686,-0.001450777
1195813220,1565158686,1565158686,-0.001450777
1195813221,1565158686,1565158686,-0.001450777
1195813222,1565158686,1565158686,-0.010050058
1195813223,1565158686,1565158686,-0.008106947
1195813224,1565158687,1565158687,0.00039196
1195813225,1565158687,1565158687,0.00039196
1195813226,1565158687,1565158687,-0.007056952
1195813227,1565158687,1565158687,-0.007056952
1195813228,1565158687,1565158687,-0.027234077
1195813229,1565158687,1565158687,-0.027234077
1195813230,1565158687,1565158687,-0.027234077
1195813231,1565158687,1565158687,-0.027234077
1195813232,1565158687,1565158687,-0.027234077
1195813233,1565158687,1565158687,-0.027234077
1195813234,1565158687,1565158687,-0.027234077
1195813235,1565158687,1565158687,-0.027234077
1195813236,1565158687,1565158687,-0.027234077
1195813237,1565158687,1565158687,-0.027234077
1195813238,1565158687,1565158687,-0.027234077
1195813239,1565158687,1565158687,-0.027234077
1195813240,1565158687,1565158687,-0.027234077
1195813241,1565158687,1565158687,-0.027234077
1195813242,1565158687,1565158687,-0.027234077
1195813243,1565158687,1565158687,-0.027234077
1195813244,1565158687,1565158687,-0.027234077
1195813245,1565158687,1565158687,-0.027234077
1195813246,1565158687,1565158687,-0.027234077
1195813247,1565158688,1565158688,-0.015646935
1195813248,1565158688,1565158688,-0.015646935
1195813249,1565158688,1565158688,-0.015646935
1195813250,1565158688,1565158688,-0.015646935
1195813251,1565158688,1565158688,-0.015646935
